x,y,z,t
-1.525,2.873,8.417,0
-1.675,3.023,8.281,13
-1.784,3.296,8.444,21
-2.015,3.922,8.635,51
-1.934,3.909,8.662,53
-1.961,3.854,8.825,63
-1.865,3.772,8.989,73
-1.634,3.636,9.152,83
-1.498,3.486,9.152,84
-1.293,3.377,9.316,10
-1.253,3.377,9.37,10
-1.198,3.459,9.452,10
-1.048,3.405,9.507,10
-0.967,3.268,9.507,11
-0.898,3.282,9.357,9
-0.858,3.473,9.207,12
-0.817,3.568,9.084,14
-0.858,3.636,8.785,9
-1.089,3.731,8.539,20
-1.062,3.772,8.567,10
-1.116,3.827,8.499,12
-1.253,3.772,8.608,9
-1.28,3.704,8.73,10
-1.266,3.595,8.798,10
-1.184,3.541,8.798,10
-1.089,3.445,8.798,11
-1.035,3.514,8.825,10
-1.048,3.595,8.757,10
-1.116,3.65,8.58,10
-0.98,3.718,8.499,11
-0.939,3.786,8.376,9
-0.939,3.881,8.417,10
-0.926,3.881,8.553,11
-0.885,3.84,8.989,11
-0.898,3.786,9.18,9
-0.803,3.772,9.22,10
-0.735,3.813,9.193,10
-0.708,3.8,9.152,10
-0.735,3.759,9.057,10
-0.626,3.704,8.989,11
-0.503,3.636,8.989,10
-0.422,3.609,8.907,10
-0.408,3.99,8.825,10
-0.49,4.086,8.771,10
-0.463,3.922,8.771,10
-0.476,3.827,8.771,10
-0.34,3.922,8.771,10
-0.231,3.963,8.757,11
-0.068,3.623,9.152,10
-0.013,3.473,9.438,10
-0.122,3.65,9.697,10
-0.231,3.963,9.888,10
-0.217,3.963,9.956,10
-0.177,3.731,10.01,10
-0.054,3.445,10.01,10
0.108,3.214,9.888,12
0.149,3.091,9.738,9
0.054,3.05,9.67,12
0.054,3.091,9.901,9
-0.027,3.064,10.065,10
-0.04,2.996,10.16,11
-0.068,3.023,10.188,10
-0.095,3.214,10.283,10
-0.068,3.268,10.215,10
0.068,3.309,10.215,12
0.354,3.282,10.228,10
0.572,3.064,10.569,10
0.762,2.805,10.664,10
0.994,2.547,10.991,11
1.076,2.342,11.209,10
1.225,2.247,11.345,10
1.362,2.002,11.318,13
1.47,1.716,11.046,11
1.511,1.579,10.719,9
1.457,1.607,10.16,10
1.416,1.675,9.438,11
1.416,1.77,8.73,10
1.375,1.838,8.281,10
1.443,1.811,7.613,13
1.579,1.77,6.987,8
1.702,1.811,6.946,10
1.702,1.797,7.177,12
1.634,1.797,7.668,10
1.784,1.797,7.927,11
1.838,1.865,7.927,10
1.784,2.002,7.995,11
1.716,2.124,8.213,10
1.539,2.26,8.471,10
1.362,2.383,8.662,13
1.144,2.478,8.812,8
0.926,2.642,8.894,9
0.776,2.724,9.03,10
0.612,2.587,9.193,14
0.544,2.724,9.479,7
0.503,2.969,9.466,10
0.531,2.724,9.384,10
0.681,2.547,9.357,12
0.83,2.478,9.22,10
0.885,2.615,9.016,10
0.858,2.914,8.771,10
0.762,2.955,8.608,11
0.667,3.146,8.417,9
0.449,3.282,8.567,10
0.422,3.35,8.444,13
0.435,3.282,8.539,11
0.367,3.255,8.73,9
0.476,3.119,8.812,14
0.503,3.091,8.894,10
0.449,3.159,8.934,12
0.326,3.268,9.057,10
0.204,3.282,9.234,10
0.149,3.255,9.22,11
0.149,3.296,9.261,10
0.149,3.309,9.193,10
0.122,3.159,9.112,10
0.068,3.091,8.907,10
0.149,3.091,8.825,10
0.095,3.214,8.717,11
0.054,3.255,8.499,10
0.095,3.309,8.376,11
-0.095,3.391,8.526,10
-0.217,3.514,8.58,10
-0.231,3.541,8.771,12
-0.34,3.554,8.948,10
-0.544,3.663,8.975,12
-0.354,3.677,8.812,10
-0.313,3.677,8.798,10
-0.326,3.718,8.88,10
-0.313,3.8,8.921,11
-0.299,3.868,8.894,10
-0.354,3.922,9.057,10
-0.449,4.113,9.166,11
-0.544,4.412,9.289,10
-0.612,4.344,9.52,10
-0.531,4.181,9.929,10
-0.544,3.881,10.201,11
-0.776,3.99,10.719,10
-1.239,4.249,11.4,10
-1.511,4.154,12.04,10
-1.607,3.609,12.162,10
-1.579,3.418,12.067,10
-1.511,3.268,12.026,10
-1.375,2.941,12.054,10
-1.321,2.601,11.972,11
-1.443,2.506,11.754,10
-1.661,2.233,11.536,10
-1.729,1.634,11.318,10
-1.702,1.28,10.787,10
-1.579,1.348,10.024,10
-1.566,1.607,9.22,10
-1.634,1.852,8.376,10
-1.729,2.165,7.504,10
-1.961,2.111,6.769,18
-2.015,1.865,6.578,11
-1.988,1.607,6.728,10
-2.043,1.634,7.15,11
-2.206,1.634,7.695,10
-2.369,1.648,8.036,10
-2.465,1.838,8.349,10
-2.56,2.07,8.621,10
-2.669,2.274,8.866,12
-2.669,2.315,9.166,8
-2.519,2.192,9.575,10
-2.369,1.974,9.888,11
-2.247,1.729,9.901,10
-2.111,1.77,9.724,10
-2.07,2.029,9.452,10
-2.083,2.342,9.316,10
-2.07,2.574,9.003,10
-1.934,2.669,8.771,10
-1.784,2.669,8.471,11
-1.797,2.655,8.349,9
-1.702,2.737,8.158,11
-1.634,2.819,8.158,10
-1.593,2.846,8.063,10
-1.511,2.792,7.927,10
-1.457,2.737,8.022,10
-1.539,2.737,8.253,10
-1.675,2.764,8.553,10
-1.825,2.805,8.798,10
-1.865,2.805,8.948,11
-1.92,2.792,8.894,13
-1.961,2.86,8.866,7
-1.988,2.969,8.798,10
-2.029,2.982,8.785,10
-1.934,2.996,8.485,10
-1.92,3.05,8.458,10
-1.797,3.091,8.567,10
-1.675,3.173,8.567,11
-1.511,3.241,8.499,10
-1.362,3.309,8.539,10
-1.253,3.323,8.567,10
-1.184,3.377,8.703,10
-1.171,3.255,8.771,10
-1.007,3.364,8.717,10
-0.994,3.636,8.744,10
-1.035,3.554,8.866,10
-1.048,3.228,9.234,11
-1.021,3.187,9.398,10
-1.048,3.309,9.547,10
-0.898,3.486,9.452,10
-0.762,3.609,9.289,11
-0.83,3.609,9.316,10
-0.885,3.636,9.207,10
-0.844,3.609,9.112,10
-0.803,3.568,9.057,11
-0.735,3.663,9.084,10
-0.776,3.8,8.907,10
-0.803,3.827,8.962,10
-0.749,3.84,9.03,10
-0.667,3.922,8.962,10
-0.735,3.963,9.098,10
-0.749,4.113,9.193,10
-0.694,4.086,9.084,11
-0.681,4.154,9.098,10
-0.735,4.126,9.22,10
-0.803,4.195,9.18,11
-0.749,4.385,9.248,9
-0.762,4.63,9.398,11
-0.476,3.977,9.602,10
-0.449,3.677,9.956,10
-0.558,4.113,10.215,10
-0.449,4.535,10.501,10
-0.476,4.44,10.787,10
-0.217,4.099,11.25,11
-0.054,3.636,11.372,10
-0.054,3.159,11.631,10
-0.027,2.873,11.822,10
-0.095,2.696,12.054,10
-0.054,2.478,12.122,10
-0.054,2.165,11.836,10
-0.095,1.716,11.495,10
-0.054,1.375,10.95,11
-0.04,1.348,10.065,10
0.013,1.593,9.084,10
0.095,1.743,8.185,10
0.149,1.906,7.409,10
0.231,2.029,7.109,10
0.381,2.07,6.782,10
0.667,2.015,6.619,11
0.83,1.934,6.742,10
0.926,1.934,7.096,10
0.967,2.029,7.627,10
1.048,2.192,8.158,10
1.253,2.152,8.608,10
1.334,2.315,8.771,10
1.28,2.547,9.084,10
1.253,2.383,9.384,11
1.157,2.124,9.765,10
1.116,2.192,10.079,10
1.103,2.315,10.16,10
1.021,2.383,10.133,10
0.858,2.478,9.97,10
0.653,2.574,9.97,10
0.585,2.642,9.806,10
0.572,2.601,9.411,10
0.64,2.601,9.193,10
0.64,2.71,8.975,10
0.653,2.805,8.907,11
0.612,2.805,8.825,10
0.612,2.86,8.825,10
0.585,2.901,8.635,10
0.503,2.941,8.539,13
0.503,2.941,8.621,10
0.476,2.914,8.757,13
0.49,2.901,8.866,7
0.394,2.873,8.825,11
0.34,2.737,8.676,10
0.313,2.833,8.676,10
0.19,2.887,8.703,10
0.245,2.887,8.58,10
0.245,3.01,8.757,10
0.163,3.078,8.798,10
0.217,3.064,8.744,10
0.163,3.037,8.812,11
0.231,2.996,8.921,10
0.231,3.037,8.894,10
0.149,2.996,8.962,10
0.095,3.05,8.989,11
0.095,3.132,8.921,10
-0.108,3.214,8.717,10
-0.149,3.309,8.594,10
-0.231,3.418,8.526,10
-0.258,3.554,8.471,10
-0.204,3.609,8.526,10
-0.258,3.568,8.676,10
-0.299,3.554,8.703,10
-0.245,3.459,8.853,11
-0.34,3.35,9.043,11
-0.476,3.323,9.261,10
-0.572,3.377,9.384,10
-0.612,3.296,9.316,10
-0.653,3.187,9.343,10
-0.544,3.255,9.125,10
-0.422,3.377,8.948,11
-0.354,3.405,8.894,10
-0.245,3.5,8.771,10
-0.394,4.045,8.703,12
-0.463,3.922,8.798,9
-0.476,3.677,8.962,10
-0.408,3.677,9.003,11
-0.367,3.827,8.948,10
-0.449,3.977,9.016,10
-0.408,4.031,8.962,10
-0.531,4.235,9.071,11
-0.762,4.739,9.193,10
-0.967,4.699,9.329,10
-0.844,4.562,9.493,10
-0.762,4.072,9.752,10
-0.98,3.909,10.623,12
-1.293,3.827,11.318,10
-1.675,3.568,11.958,10
-1.634,2.996,12.026,10
-1.539,2.41,11.904,10
-1.511,2.097,11.713,12
-1.634,2.165,11.223,10
-1.702,2.165,10.814,10
-1.825,1.947,10.474,11
-2.015,1.566,10.16,10
-2.152,1.375,9.915,10
-2.369,1.498,9.793,10
-2.506,1.607,9.602,10
-2.478,1.743,9.37,10
-2.506,1.702,9.166,14
-2.41,1.43,9.003,9
-2.329,1.184,8.839,10
-2.247,0.994,8.689,10
-2.111,0.817,8.58,11
-2.097,0.612,8.73,11
-2.192,0.531,8.825,10
-2.192,0.449,8.703,10
-2.247,0.572,8.648,12
-2.369,0.721,8.512,9
-2.478,0.871,8.512,10
-2.492,1.089,8.539,13
-2.764,1.239,8.58,10
-2.928,1.402,8.499,10
-3.119,1.43,8.717,11
-3.187,1.579,8.866,9
-3.064,1.511,8.948,11
-3.091,1.402,9.316,10
-3.023,1.225,9.534,10
-2.941,1.307,9.656,11
-2.846,1.389,9.67,10
-2.669,1.579,9.738,10
-2.615,1.77,9.684,11
-2.519,1.906,9.384,9
-2.424,2.015,9.193,10
-2.397,2.288,9.152,12
-2.41,2.356,9.234,9
-2.26,2.26,9.411,10
-2.083,2.111,9.37,10
-1.961,2.002,7.491,10
-1.893,2.301,9.52,10
-2.07,2.383,9.534,10
-2.315,2.397,9.752,10
-2.26,2.397,9.547,11
-2.342,2.179,9.629,10
-2.152,2.165,9.411,10
-2.111,2.179,9.493,10
-2.41,2.274,9.602,11
-1.838,2.288,8.635,10
-1.634,2.152,8.962,10
-1.416,2.083,9.357,10
-1.416,1.852,8.907,10
-1.416,2.029,8.703,10
-1.498,2.506,8.471,11
-1.634,2.696,8.253,10
-1.702,3.078,8.185,10
-1.906,3.35,8.403,11
-2.002,3.255,8.771,10
-1.934,3.119,9.057,10
-1.784,2.887,9.289,10
-1.634,2.833,9.152,10
-1.539,2.955,9.316,11
-1.43,2.996,9.575,10
-1.212,2.955,9.861,10
-0.926,2.901,9.97,10
-0.708,2.805,9.997,10
-0.762,2.764,10.024,10
-0.749,2.901,10.024,10
-0.749,2.764,9.956,13
-0.694,2.764,9.656,9
-0.558,2.833,9.084,10
-0.367,2.928,8.73,10
-0.408,2.955,8.526,11
-0.435,2.982,8.39,9
-0.381,3.091,8.281,11
-0.476,3.241,8.172,10
-0.299,3.336,8.09,11
-0.286,3.35,8.185,10
-0.245,3.323,8.349,10
-0.286,3.296,8.594,10
-0.299,3.241,8.948,11
-0.354,3.241,9.275,11
-0.463,3.132,9.588,10
-0.544,3.064,9.82,10
-0.612,3.023,9.929,10
-0.735,3.078,9.833,10
-0.844,3.023,9.738,11
-0.83,3.064,9.479,10
-0.817,3.445,9.125,10
-0.694,3.5,8.717,10
-0.612,3.228,8.335,10
-0.544,3.132,8.24,10
-0.503,3.377,8.349,10
-0.572,3.554,8.43,10
-0.599,3.582,8.662,11
-0.612,3.636,9.057,10
-0.708,3.514,9.248,10
-0.871,3.514,9.507,10
-0.898,3.514,9.697,10
-0.762,3.514,9.602,10
-0.572,3.541,9.547,10
-0.599,3.527,9.438,11
-0.476,3.527,9.084,10
-0.381,3.473,9.071,14
-0.394,3.377,9.125,8
-0.34,3.432,8.989,10
-0.367,3.418,8.948,10
-0.408,3.418,9.234,12
-0.667,3.568,9.343,9
-0.721,3.459,9.343,12
-0.721,3.35,9.289,8
-0.735,3.377,9.248,15
-0.735,3.445,9.084,10
-0.599,3.418,7.736,9
-1.007,3.5,8.88,10
-1.076,3.486,9.861,10
-0.885,3.377,9.697,10
-0.803,3.432,9.357,11
-0.626,3.582,9.507,10
-0.667,3.691,9.438,12
-0.803,3.609,8.158,10
-0.844,3.473,8.499,12
-0.272,3.35,8.921,8
-0.095,3.214,8.539,11
-0.245,3.187,8.43,10
-0.394,3.214,8.785,10
-0.381,3.187,9.098,10
-0.299,3.187,9.22,13
-0.408,3.214,9.22,10
-0.64,3.282,9.289,11
-0.803,3.391,9.357,10
-0.926,3.568,9.438,9
-1.021,3.663,9.22,11
-1.048,3.636,9.357,10
-1.062,3.473,9.411,10
-0.858,3.405,9.275,11
-0.694,3.377,9.234,14
-0.762,3.35,9.275,10
-0.735,3.159,8.962,11
-0.708,3.091,9.016,10
-0.653,3.282,9.248,14
-0.681,3.255,9.248,12
-0.735,3.091,9.22,5
-0.64,2.955,9.234,12
-0.64,3.132,9.193,8
-0.681,3.323,9.248,11
-0.83,3.432,9.098,10
-0.871,3.445,9.016,10
-0.844,3.377,8.88,12
-0.898,3.418,8.975,14
